community,area_num,mean_radiance,sum_radiance,min_radiance,max_radiance,std_radiance,ACS Year,"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +",Male 0 to 17,Male 18 to 24,Male 25 to 34,Male 35 to 49,Male 50 to 64,Male 65+,Female 0 to 17,Female 18 to 24,Female 25 to 34,Female 35 to 49,Female 50 to 64,Female 65 +,Total Population,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other Race,Multiracial,White Not Hispanic or Latino,Hispanic or Latino,Record ID,complaint_count
LOOP,32.0,197.59357,5137.4326,84.60568,310.95566,59.681347,2023,138,540,305,1122,4777,1145,2179,7741,3986,2394,1583,1223,3843,6816,2979,2173,2221,38284,22509,3120,367,8849,0,1016,2424,20573,4297,2023_LOOP,1865
NEAR SOUTH SIDE,33.0,124.15212,4345.324,32.194202,168.74751,39.120655,2023,447,180,235,401,4452,1752,633,3425,3566,2341,1128,1662,330,4305,2893,2275,1998,26307,14113,6588,57,3830,0,329,1390,13320,1334,2023_NEAR SOUTH SIDE,1004
ARMOUR SQUARE,34.0,140.6255,1968.7571,105.6274,189.01779,26.140543,2023,701,798,370,637,597,1300,487,871,1174,1177,1032,1022,517,965,1163,1378,2063,13149,2556,1487,107,8402,61,212,325,2226,565,2023_ARMOUR SQUARE,1122
DOUGLAS,35.0,103.094475,2680.4563,65.121346,138.20416,19.032187,2023,689,571,526,431,737,1630,1654,1445,1400,1276,1149,1464,1511,1994,1463,1626,2017,18629,2278,12400,214,2006,0,797,936,2042,1416,2023_DOUGLAS,1549
OAKLAND,36.0,77.32012,541.24084,63.9313,87.29023,8.732014,2023,361,228,144,125,182,772,104,185,236,236,142,565,211,351,591,564,414,4373,159,3946,59,51,0,14,143,155,131,2023_OAKLAND,375
FULLER PARK,37.0,109.221794,1419.8833,95.69837,125.8137,8.384719,2023,186,113,36,61,34,225,149,75,87,134,365,212,86,110,194,269,280,2186,148,1850,7,7,0,22,151,86,232,2023_FULLER PARK,567
GRAND BOULEVARD,38.0,91.979706,2391.4724,74.40439,125.225494,10.747978,2023,913,944,651,1406,1292,2160,807,2105,1857,2299,1347,2902,1080,2370,2930,2586,2365,24808,1339,21947,38,204,24,241,1015,1296,809,2023_GRAND BOULEVARD,2170
KENWOOD,39.0,68.65654,1235.8177,51.40693,83.25268,9.900933,2023,564,296,116,646,1254,1502,480,1052,1167,1308,1034,1548,450,1156,1542,1566,1564,14368,2958,9791,18,697,4,124,775,2804,383,2023_KENWOOD,1486
WASHINGTON PARK,40.0,77.28447,1777.5427,53.303627,113.816185,17.585815,2023,1142,717,274,317,267,2178,497,673,1005,749,465,1647,793,1189,1602,1001,564,12362,242,11691,10,0,0,138,281,230,171,2023_WASHINGTON PARK,2611
HYDE PARK,41.0,75.72787,1968.9246,42.664917,119.306076,19.601889,2023,301,255,309,731,2078,1599,3025,2476,1535,1527,1245,1619,3157,2614,1916,1683,1696,24092,11509,6143,49,3763,0,604,2024,10805,1762,2023_HYDE PARK,2091
